,wkt_geom,Y_INDEX,X_INDEX,SPO_NO_CD,SPO_NO_250,기준년월,00시~01시,01시~02시,02시~03시,03시~04시,04시~05시,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~00시,00시~011,01시~021,02시~031,03시~041,04시~051,05시~061,06시~071,07시~081,08시~091,09시~101,10시~111,11시~121,12시~131,13시~141,14시~151,15시~161,16시~171,17시~181,18시~191,19시~201,20시~211,21시~221,22시~231,23시~001
,"Polygon ((883250.00012202910147607 1489750.00012205168604851, 883000.00012202654033899 1489750.00012205238454044, 883000.0001220281701535 1490000.00012205285020173, 883250.00012202828656882 1490000.00012205308303237, 883250.00012202910147607 1489750.00012205168604851))",1489875,883125,나나8389,나나83D89A,201508,0.33,0.2,0.17,0.27,0.15,0.27,0.22,0.47,0.79,1.18,1.1,1.34,1.4,1.58,1.5,1.51,1.6,1.78,1.56,1.57,1.32,1.09,0.81,0.62,8.06E-05,6.75E-05,7.33E-05,0.000132932,8.26E-05,0.000122053,6.28E-05,7.94E-05,8.55E-05,9.36E-05,7.80E-05,8.73E-05,8.83E-05,0.000103749,0.00010138,0.000101395,0.000102876,0.000108067,9.47E-05,9.91E-05,9.07E-05,9.36E-05,9.72E-05,0.000109992
,"Polygon ((883500.00012202758807689 1489750.00012205261737108, 883250.00012202910147607 1489750.00012205168604851, 883250.00012202828656882 1490000.00012205308303237, 883500.0001220271224156 1490000.00012205261737108, 883500.00012202758807689 1489750.00012205261737108))",1489875,883375,나나8389,나나83D89B,201508,0.14,0.08,0.08,0.13,0.08,0.13,0.1,0.18,0.31,0.48,0.45,0.54,0.58,0.67,0.62,0.63,0.66,0.76,0.65,0.65,0.54,0.43,0.31,0.25,3.28E-05,2.89E-05,3.58E-05,6.49E-05,4.03E-05,5.98E-05,2.76E-05,3.06E-05,3.31E-05,3.83E-05,3.16E-05,3.51E-05,3.65E-05,4.42E-05,4.21E-05,4.21E-05,4.26E-05,4.61E-05,3.96E-05,4.12E-05,3.71E-05,3.67E-05,3.69E-05,4.44E-05
,"Polygon ((883250.00012202875223011 1490250.00012205308303237, 883000.00012202700600028 1490250.00012205331586301, 883000.00012202782090753 1490500.0001220537815243, 883250.00012202793732285 1490500.00012205448001623, 883250.00012202875223011 1490250.00012205308303237))",1490375,883125,나나8390,나나83B90A,201508,0.56,0.38,0.34,0.53,0.3,0.54,0.43,0.67,0.98,1.49,1.3,1.49,1.6,1.92,1.69,1.7,1.76,2.11,1.76,1.87,1.51,1.27,0.99,0.92,0.000135622,0.000130667,0.000149059,0.000258777,0.000163241,0.000243239,0.000122896,0.00011507,0.000106222,0.000118024,9.18E-05,9.77E-05,0.000100985,0.000126154,0.000114552,0.000114294,0.000113798,0.000128426,0.000107078,0.000117919,0.000104065,0.000109262,0.000118218,0.000164787
,"Polygon ((883500.0001220271224156 1490250.00012205401435494, 883250.00012202875223011 1490250.00012205308303237, 883250.00012202793732285 1490500.00012205448001623, 883500.00012202747166157 1490500.00012205401435494, 883500.0001220271224156 1490250.00012205401435494))",1490375,883375,나나8390,나나83B90B,201508,4.63,2.79,1.96,2.16,1.36,2.45,3.33,6.28,9.61,12.98,12.9,14.93,16.26,17.18,16.9,17.2,17.89,19.27,17.61,17.02,15,12.61,9.6,7.12,0.001124674,0.000956166,0.000848812,0.001052747,0.000728786,0.001098909,0.000951704,0.001070957,0.001040145,0.001029223,0.000912498,0.00097668,0.001025437,0.001130166,0.001142725,0.001154002,0.001153962,0.001171522,0.001072057,0.001072613,0.001033621,0.001087255,0.001147865,0.001272324
,"Polygon ((882500.00012202467769384 1489250.000122050056234, 882250.00012202607467771 1489250.00012204959057271, 882250.00012202758807689 1489500.00012205075472593, 882500.00012202456127852 1489500.00012205028906465, 882500.00012202467769384 1489250.000122050056234))",1489375,882375,나나8289,나나82B89B,201508,0.34,0.23,0.22,0.42,0.22,0.42,0.25,0.45,0.93,1.57,1.38,1.85,2.04,2.27,2.11,2.2,2.34,2.64,2.24,2.25,1.82,1.45,1.02,0.7,8.14E-05,7.85E-05,9.46E-05,0.000204596,0.000120137,0.00018734,7.26E-05,7.75E-05,0.000100878,0.000124622,9.76E-05,0.000121083,0.000128393,0.000149153,0.000142726,0.000147321,0.00015083,0.000160473,0.000136272,0.000141942,0.000125696,0.00012503,0.000121727,0.000125854
,"Polygon ((882750.00012202910147607 1489250.00012204959057271, 882500.00012202467769384 1489250.000122050056234, 882500.00012202456127852 1489500.00012205028906465, 882750.000122029799968 1489500.00012205075472593, 882750.00012202910147607 1489250.00012204959057271))",1489375,882625,나나8289,나나82B89C,201508,0.78,0.54,0.47,0.84,0.46,0.88,0.64,1.16,2.25,3.6,3.18,4.01,4.27,4.67,4.37,4.56,4.84,5.52,4.76,4.77,3.91,3.15,2.25,1.57,0.000190199,0.000184082,0.000202424,0.000410767,0.000246333,0.000394902,0.000182867,0.000198331,0.000243427,0.000285533,0.000225022,0.000262103,0.000269321,0.000307407,0.000295483,0.000305831,0.000312166,0.0003355,0.000289645,0.000300712,0.00026971,0.000271946,0.000269018,0.000280316
,"Polygon ((882750.00012202875223011 1489750.00012205168604851, 882500.00012202572543174 1489750.00012205168604851, 882500.00012202572543174 1490000.00012205308303237, 882750.00012202828656882 1490000.00012205238454044, 882750.00012202875223011 1489750.00012205168604851))",1489875,882625,나나8289,나나82D89C,201508,0.15,0.1,0.1,0.18,0.09,0.17,0.11,0.21,0.45,0.76,0.68,0.92,1.02,1.12,1.06,1.1,1.18,1.32,1.13,1.11,0.91,0.72,0.49,0.32,3.59E-05,3.28E-05,4.15E-05,8.66E-05,5.02E-05,7.70E-05,3.09E-05,3.54E-05,4.86E-05,6.00E-05,4.81E-05,6.03E-05,6.45E-05,7.37E-05,7.20E-05,7.40E-05,7.60E-05,8.00E-05,6.87E-05,7.02E-05,6.26E-05,6.18E-05,5.90E-05,5.71E-05
,"Polygon ((883250.00012202828656882 1490000.00012205308303237, 883000.0001220281701535 1490000.00012205285020173, 883000.00012202700600028 1490250.00012205331586301, 883250.00012202875223011 1490250.00012205308303237, 883250.00012202828656882 1490000.00012205308303237))",1490125,883125,나나8390,나나83A90A,201508,1.61,0.89,0.64,0.76,0.46,0.83,1.04,2.28,3.9,5.56,5.59,6.66,7.27,7.75,7.71,7.81,8.22,8.81,8.02,7.6,6.67,5.45,3.96,2.7,0.000390265,0.000304485,0.000277303,0.000369501,0.00024616,0.00037107,0.00029829,0.000388904,0.000422828,0.000440613,0.000395369,0.000435636,0.000458614,0.000509453,0.000521359,0.000523901,0.000530213,0.000535395,0.000488036,0.000478912,0.000459876,0.000470114,0.00047322,0.000483286
,"Polygon ((883000.00012202793732285 1489250.00012204982340336, 882750.00012202910147607 1489250.00012204959057271, 882750.000122029799968 1489500.00012205075472593, 883000.00012202723883092 1489500.00012205098755658, 883000.00012202793732285 1489250.00012204982340336))",1489375,882875,나나8289,나나82B89D,201508,0.31,0.19,0.17,0.33,0.17,0.33,0.22,0.47,1.07,1.77,1.64,2.24,2.48,2.65,2.57,2.68,2.86,3.13,2.74,2.64,2.19,1.72,1.17,0.68,7.59E-05,6.56E-05,7.47E-05,0.000159235,9.33E-05,0.000147186,6.26E-05,7.98E-05,0.000115793,0.000140631,0.000115625,0.000146211,0.000156351,0.000174358,0.000173888,0.000180023,0.000184387,0.000190226,0.000166566,0.00016629,0.000151262,0.000148584,0.000139926,0.000122336
,"Polygon ((882500.00012202456127852 1489500.00012205028906465, 882250.00012202758807689 1489500.00012205075472593, 882250.00012202630750835 1489750.00012205168604851, 882500.00012202572543174 1489750.00012205168604851, 882500.00012202456127852 1489500.00012205028906465))",1489625,882375,나나8289,나나82C89B,201508,0.05,0.04,0.04,0.07,0.04,0.07,0.04,0.06,0.12,0.21,0.18,0.24,0.27,0.31,0.28,0.29,0.31,0.36,0.3,0.3,0.24,0.19,0.14,0.1,1.22E-05,1.24E-05,1.55E-05,3.28E-05,1.97E-05,2.99E-05,1.12E-05,1.10E-05,1.35E-05,1.70E-05,1.28E-05,1.60E-05,1.69E-05,2.02E-05,1.89E-05,1.93E-05,1.98E-05,2.16E-05,1.80E-05,1.92E-05,1.66E-05,1.65E-05,1.63E-05,1.85E-05
,"Polygon ((883500.00012202723883092 1489250.00012205075472593, 883250.00012202875223011 1489250.000122050056234, 883250.00012202910147607 1489500.00012205145321786, 883500.00012202677316964 1489500.00012205145321786, 883500.00012202723883092 1489250.00012205075472593))",1489375,883375,나나8389,나나83B89B,201508,0.01,0.01,0.01,0.03,0.02,0.03,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.03,0.01,0.03,0.02,0.01,0.01,0.03,3.52E-06,4.64E-06,6.15E-06,1.28E-05,8.14E-06,1.21E-05,3.97E-06,2.42E-06,1.50E-06,2.22E-06,9.58E-07,9.49E-07,8.14E-07,1.91E-06,9.60E-07,9.31E-07,8.95E-07,1.75E-06,8.83E-07,1.87E-06,1.04E-06,1.25E-06,1.66E-06,4.56E-06
,"Polygon ((882750.000122029799968 1489500.00012205075472593, 882500.00012202456127852 1489500.00012205028906465, 882500.00012202572543174 1489750.00012205168604851, 882750.00012202875223011 1489750.00012205168604851, 882750.000122029799968 1489500.00012205075472593))",1489625,882625,나나8289,나나82C89C,201508,0.49,0.32,0.31,0.57,0.31,0.57,0.36,0.68,1.47,2.47,2.21,3.01,3.33,3.65,3.47,3.59,3.84,4.29,3.67,3.63,2.96,2.33,1.61,1.05,0.000118865,0.000109368,0.000135648,0.000280669,0.000168261,0.00025595,0.000101675,0.00011595,0.000158722,0.00019582,0.000156478,0.000196994,0.000209906,0.000240384,0.000234489,0.000240795,0.000247714,0.000261107,0.000223619,0.000228684,0.000203883,0.000201005,0.000192288,0.000187512
,"Polygon ((883000.00012202654033899 1489750.00012205238454044, 882750.00012202875223011 1489750.00012205168604851, 882750.00012202828656882 1490000.00012205238454044, 883000.0001220281701535 1490000.00012205285020173, 883000.00012202654033899 1489750.00012205238454044))",1489875,882875,나나8289,나나82D89D,201508,0.49,0.31,0.3,0.52,0.29,0.52,0.35,0.69,1.45,2.38,2.17,2.9,3.19,3.49,3.33,3.44,3.67,4.08,3.52,3.47,2.85,2.26,1.57,1.03,0.000119726,0.000105063,0.000127825,0.000256257,0.000155451,0.00023385,9.87E-05,0.000118372,0.000156626,0.00018894,0.000153284,0.000189758,0.000200993,0.000229394,0.000225265,0.000230796,0.000236751,0.000247947,0.000214372,0.000218319,0.000196613,0.000194692,0.000187776,0.000183878
,"Polygon ((883500.0001220271224156 1490000.00012205261737108, 883250.00012202828656882 1490000.00012205308303237, 883250.00012202875223011 1490250.00012205308303237, 883500.0001220271224156 1490250.00012205401435494, 883500.0001220271224156 1490000.00012205261737108))",1490125,883375,나나8390,나나83A90B,201508,1.56,1.05,0.87,1.23,0.73,1.31,1.22,1.97,2.77,3.96,3.56,4.07,4.36,5.01,4.54,4.6,4.74,5.5,4.7,4.93,4.07,3.49,2.77,2.47,0.000379459,0.000357569,0.000376908,0.00059977,0.000391398,0.000587009,0.000349958,0.000335524,0.000300293,0.000313869,0.000251916,0.00026588,0.000274814,0.000329791,0.000306867,0.000308601,0.000306008,0.000334519,0.000286072,0.000310651,0.000280803,0.000300728,0.000330942,0.000442277
,"Polygon ((883000.00012202723883092 1489500.00012205098755658, 882750.000122029799968 1489500.00012205075472593, 882750.00012202875223011 1489750.00012205168604851, 883000.00012202654033899 1489750.00012205238454044, 883000.00012202723883092 1489500.00012205098755658))",1489625,882875,나나8289,나나82C89D,201508,0.27,0.2,0.2,0.37,0.2,0.37,0.21,0.34,0.64,1.1,0.92,1.23,1.34,1.56,1.4,1.44,1.54,1.8,1.48,1.55,1.21,0.97,0.7,0.55,6.51E-05,6.71E-05,8.51E-05,0.000178923,0.000107327,0.000164374,6.05E-05,5.76E-05,6.90E-05,8.71E-05,6.51E-05,8.03E-05,8.45E-05,0.000102349,9.44E-05,9.66E-05,9.92E-05,0.000109362,9.00E-05,9.74E-05,8.35E-05,8.36E-05,8.35E-05,9.78E-05
,"Polygon ((883250.00012202910147607 1489500.00012205145321786, 883000.00012202723883092 1489500.00012205098755658, 883000.00012202654033899 1489750.00012205238454044, 883250.00012202910147607 1489750.00012205168604851, 883250.00012202910147607 1489500.00012205145321786))",1489625,883125,나나8389,나나83C89A,201508,0.02,0.02,0.02,0.04,0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.05,0.02,0.02,0.02,0.05,0.02,0.05,0.02,0.02,0.02,0.04,4.85E-06,6.62E-06,9.08E-06,2.16E-05,1.07E-05,1.89E-05,5.72E-06,3.69E-06,2.24E-06,3.45E-06,1.39E-06,1.37E-06,1.22E-06,3.16E-06,1.35E-06,1.32E-06,1.27E-06,2.77E-06,1.24E-06,2.87E-06,1.45E-06,1.84E-06,2.31E-06,7.56E-06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
협재해수욕장,5.74,3.67,3.13,4.94,2.79,5.12,4.22,7.89,14.15,21.88,20.16,25.31,27.56,30.29,28.76,29.54,31.23,34.89,30.35,30.08,25.05,20.31,14.69,10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
